
2024/10/01 (09:02:19) | ===> btop++ v.1.3.2
2024/10/01 (09:02:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (09:02:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/01 (09:25:48) | ===> btop++ v.1.3.2
2024/10/01 (09:25:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (09:25:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/01 (09:44:34) | ===> btop++ v.1.3.2
2024/10/01 (09:44:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (09:44:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/03 (15:38:48) | ===> btop++ v.1.3.2
2024/10/03 (15:38:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (15:38:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/03 (15:39:16) | ===> btop++ v.1.3.2
2024/10/03 (15:39:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (15:39:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/03 (15:39:19) | ===> btop++ v.1.3.2
2024/10/03 (15:39:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (15:39:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported
